được	Được	28223
có	Có	23845
đấu	Đấu	14859
phải	Phải	12429
là	Là	11073
thắng	Thắng	10770
bị	Bị	8414
thi đấu	Thi Đấu	8294
chơi	Chơi	8197
theo	Theo	7420
còn	Còn	6923
qua	Qua	5968
thua	Thua	5567
u	U	5430
chiến thắng	Chiến Thắng	5416
khiến	Khiến	4953
bóng	Bóng	4788
làm	Làm	4745
muốn	Muốn	4722
giành	Giành	4684
nói	Nói	4655
đi	Đi	4427
cho	Cho	4383
gặp	Gặp	4228
giúp	Giúp	4124
nhận	Nhận	3843
đưa	Đưa	3815
thêm	Thêm	3755
cần	Cần	3740
trở lại	Trở Lại	3569
